date,cash,gross_exposure,net_exposure,equity,pnl_day,pnl_cum,n_positions
2026-06-02,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-03,9964.320000,0.000000,0.000000,9964.320000,-35.680000,-35.680000,0
2026-06-04,9981.190000,0.000000,0.000000,9981.190000,16.870000,-18.810000,0
2026-06-05,9861.730000,0.000000,0.000000,9861.730000,-119.450000,-138.270000,0
2026-06-08,9871.560000,0.000000,0.000000,9871.560000,9.830000,-128.440000,0
2026-06-09,9875.920000,0.000000,0.000000,9875.920000,4.360000,-124.080000,0
2026-06-10,9833.500000,0.000000,0.000000,9833.500000,-42.420000,-166.500000,0
2026-06-11,9916.590000,0.000000,0.000000,9916.590000,83.090000,-83.410000,0
2026-06-12,9930.760000,0.000000,0.000000,9930.760000,14.170000,-69.240000,0
2026-06-15,9964.290000,0.000000,0.000000,9964.290000,33.530000,-35.710000,0
2026-06-16,9956.310000,0.000000,0.000000,9956.310000,-7.970000,-43.690000,0
2026-06-17,9865.330000,0.000000,0.000000,9865.330000,-90.980000,-134.670000,0
2026-06-18,9942.510000,0.000000,0.000000,9942.510000,77.180000,-57.490000,0
