date,close,open,high,low,volume
2026-06-02,129.1300048828125,129.39999389648438,130.72999572753906,128.5399932861328,2400100.0
2026-06-03,131.41000366210938,129.9600067138672,134.8699951171875,129.85000610351562,2396000.0
2026-06-04,129.4199981689453,129.61000061035156,132.91000366210938,129.02999877929688,1803600.0
2026-06-05,126.45999908447266,128.52999877929688,130.0,125.55999755859376,1321000.0
2026-06-08,125.5,127.9499969482422,128.94000244140625,125.18000030517578,1587400.0
2026-06-09,126.68000030517578,125.52999877929688,126.93000030517578,123.48999786376952,1141426.0
2026-06-10,128.2100067138672,127.44000244140624,130.14999389648438,126.58000183105467,1708507.0
2026-06-11,125.27999877929688,129.1699981689453,129.42999267578125,125.27999877929688,1178247.0
2026-06-12,127.16999816894533,125.62000274658205,128.0500030517578,124.13610076904295,884518.0
2026-06-15,123.0,124.68000030517578,124.68000030517578,120.9499969482422,1511360.0
2026-06-16,119.41999816894533,122.16000366210938,122.4574966430664,119.38999938964844,774455.0
2026-06-17,116.13999938964844,119.41999816894533,119.48500061035156,114.86000061035156,1920876.0
2026-06-18,112.58000183105467,116.5500030517578,116.1500015258789,111.3874969482422,1606776.0
2026-06-22,111.41999816894533,112.61000061035156,113.0999984741211,110.44000244140624,2062335.0
2026-06-23,110.86000061035156,111.51000213623048,112.58999633789062,110.6500015258789,1141187.0
2026-06-24,108.98999786376952,109.5999984741211,110.01000213623048,106.0,2638904.0
2026-06-25,111.5500030517578,108.83999633789062,111.55999755859376,108.3000030517578,1668995.0
2026-06-26,110.54000091552734,112.12999725341795,112.7699966430664,109.70999908447266,903806.0
2026-06-29,109.0999984741211,111.04000091552734,111.19000244140624,108.3949966430664,913050.0
2026-06-30,106.7300033569336,109.69000244140624,110.18000030517578,106.48500061035156,1950127.0
2026-07-01,104.88999938964844,106.37999725341795,106.87000274658205,104.12000274658205,1826674.0
2026-07-02,106.45999908447266,105.19000244140624,106.83000183105467,104.37000274658205,962874.0
2026-07-06,108.77999877929688,106.36000061035156,108.8949966430664,105.87000274658205,761567.0
2026-07-07,110.91000366210938,110.27999877929688,111.54499816894533,108.29499816894533,1757822.0
2026-07-08,115.2300033569336,113.61000061035156,116.38500213623048,113.16000366210938,1667346.0
2026-07-09,113.62000274658205,114.2300033569336,116.18000030517578,112.68000030517578,1127569.0
2026-07-10,114.31999969482422,114.0,115.66999816894533,112.69000244140624,841607.0
2026-07-13,117.4000015258789,115.76000213623048,118.2300033569336,115.68499755859376,748890.0
2026-07-14,116.62999725341795,118.62000274658205,118.48999786376952,115.52999877929688,728691.0
2026-07-15,115.72000122070312,116.30999755859376,116.91000366210938,114.63999938964844,838225.0
2026-07-16,115.83000183105467,116.12999725341795,117.4800033569336,115.4499969482422,836802.0
2026-07-17,119.1500015258789,117.33000183105467,119.66999816894533,117.16999816894533,1041842.0
2026-07-20,120.48999786376952,119.5,121.12000274658205,117.95500183105467,1162465.0
2026-07-21,121.5500030517578,121.52999877929688,122.61000061035156,120.08999633789062,804508.0
2026-07-22,123.87999725341795,123.36000061035156,124.43000030517578,122.98500061035156,657858.0
2026-07-23,122.3000030517578,124.73999786376952,125.75,121.83000183105467,844412.0
2026-07-24,121.52999877929688,123.33000183105467,123.4499969482422,121.41999816894533,439825.0
2026-07-27,117.5,119.77999877929688,120.24500274658205,116.8249969482422,1147909.0
