date,close,open,high,low,volume
2026-06-04,165.64999389648438,165.14999389648438,168.23989868164062,163.75,1760381.0
2026-06-05,155.44000244140625,162.2899932861328,163.375,155.14500427246094,1769817.0
2026-06-08,149.83999633789062,158.02000427246094,158.08999633789062,149.0399932861328,3056175.0
