date,close,open,high,low,volume
2026-07-21,162.3300018310547,160.99000549316406,164.4600067138672,160.00999450683594,3718365.0
2026-07-22,166.74000549316406,160.11000061035156,167.80999755859375,159.6300048828125,2575367.0
2026-07-23,168.97999572753906,166.25999450683594,169.05999755859375,165.0399932861328,2534701.0
2026-07-24,163.3800048828125,168.69500732421875,169.75999450683594,162.36000061035156,2157306.0
2026-07-27,157.0800018310547,165.5,164.5449981689453,155.5399932861328,3900262.0
2026-07-28,148.63999938964844,153.9199981689453,153.9550018310547,146.2100067138672,5252576.0
2026-07-29,142.80999755859375,148.72500610351562,149.27999877929688,142.15499877929688,4440230.0
2026-07-30,148.6199951171875,148.0,151.96949768066406,147.0850067138672,4013106.0
2026-07-31,148.19000244140625,151.85000610351562,153.1300048828125,146.52000427246094,3784028.0
2026-08-03,155.94000244140625,148.77000427246094,156.9550018310547,146.19000244140625,3503988.0
2026-08-04,143.22999572753906,155.60000610351562,156.85000610351562,143.02999877929688,9928378.0
2026-08-05,140.5800018310547,143.89500427246094,145.5,140.1699981689453,5452102.0
2026-08-07,141.3800048828125,142.0,143.022705078125,140.13999938964844,4594426.0
2026-08-10,142.8699951171875,141.91000366210938,144.86000061035156,141.05050659179688,3814327.0
2026-08-11,144.9199981689453,144.5399932861328,146.88999938964844,143.11000061035156,2969067.0
2026-08-12,146.67999267578125,149.0,149.3800048828125,145.30999755859375,2657509.0
2026-08-13,146.39999389648438,146.25,147.75999450683594,144.80999755859375,2392083.0
2026-08-14,148.1300048828125,146.89999389648438,150.17999267578125,146.1300048828125,2593273.0
2026-08-17,146.11000061035156,149.3699951171875,149.76260375976562,145.2100067138672,3493000.0
2026-08-25,139.02999877929688,138.3699951171875,140.25999450683594,137.38999938964844,3891681.0
2026-08-27,140.02999877929688,139.39999389648438,144.02999877929688,139.33999633789062,3368476.0
2026-09-01,137.3699951171875,136.7899932861328,137.94000244140625,135.6699981689453,4110684.0
