date,close,open,high,low,volume
2026-06-02,142.42999267578125,145.64999389648438,147.22999572753906,141.05999755859375,1121000.0
2026-06-03,143.3000030517578,144.47000122070312,145.33999633789062,141.4499969482422,1140800.0
2026-06-04,146.41000366210938,146.97999572753906,151.14999389648438,144.27000427246094,1410400.0
2026-06-05,153.22000122070312,149.22999572753906,154.7100067138672,149.2100067138672,2307300.0
2026-06-08,151.50999450683594,151.97999572753906,153.57000732421875,150.0,1569600.0
2026-06-09,159.61000061035156,150.9199981689453,160.8699951171875,149.1699981689453,1818914.0
2026-06-10,150.7100067138672,159.00999450683594,161.35000610351562,149.28500366210938,1339653.0
2026-06-11,149.19000244140625,150.02999877929688,150.86000061035156,147.33999633789062,1501747.0
2026-06-12,149.6999969482422,149.60499572753906,150.5998992919922,145.14309692382812,981217.0
2026-06-15,148.13999938964844,149.22999572753906,150.5500030517578,147.46009826660156,1023961.0
2026-06-16,147.69000244140625,149.6999969482422,150.88999938964844,146.3332061767578,898223.0
2026-06-17,143.52000427246094,147.9600067138672,150.82000732421875,142.5500030517578,1171467.0
2026-06-18,145.75999450683594,144.63999938964844,146.21499633789062,142.10299682617188,2863931.0
2026-06-22,138.97000122070312,144.4499969482422,144.77000427246094,138.7899932861328,1684873.0
2026-06-23,143.89999389648438,143.0,145.74000549316406,141.61500549316406,1815181.0
2026-06-24,148.8800048828125,144.8300018310547,149.625,144.82000732421875,1357561.0
2026-06-25,153.82000732421875,148.17999267578125,154.1999969482422,148.02000427246094,2007353.0
2026-06-26,158.25,155.33999633789062,160.9199981689453,154.46499633789062,2465296.0
2026-06-29,157.74000549316406,158.22000122070312,160.6999969482422,156.72999572753906,1504447.0
2026-06-30,152.25,155.94000244140625,157.1699981689453,152.16000366210938,1004061.0
2026-07-01,159.7899932861328,157.69000244140625,160.44000244140625,154.49000549316406,1523750.0
2026-07-02,164.47999572753906,161.26499938964844,167.82000732421875,159.30999755859375,1495200.0
2026-07-06,159.77000427246094,163.6999969482422,164.39999389648438,153.63999938964844,1341331.0
2026-07-07,161.5500030517578,163.8300018310547,163.83999633789062,158.85499572753906,934830.0
2026-07-08,157.4600067138672,159.13999938964844,159.82000732421875,156.8000030517578,945009.0
2026-07-09,158.2899932861328,156.39999389648438,158.6300048828125,152.77999877929688,1069973.0
2026-07-10,161.27999877929688,159.3000030517578,161.82000732421875,158.3000030517578,723319.0
2026-07-13,162.05999755859375,161.47999572753906,164.4499969482422,161.22999572753906,1616680.0
